nom,type,portion,calories,proteins,lipides,glucides,fibres
Anchois à l'huile d'olive,autre,100,210,28.89,9.71,0,0
Langue de bœuf en conserve,meat,100,267,19.3,20.3,0.3,0
Saumon Atlantique (élevage),seafood,100,206,22.1,12.35,0,0
Algue agar crue,autre,100,26,0.54,0.03,6.75,0.5
Brie,autre,100,334,20.75,27.68,0.45,0
Sauce chili,autre,100,104,2.5,0.3,19.79,5.9
Oeuf frais,egg,100,145,11.7995,10.012,0.9812,0
Jambon tranché,autre,100,163,16.6,8.6,3.83,1.3
Roulé de dinde,meat,100,98,14.79,1.66,5.03,0
Pain de seigle,cereal,100,258,8.5,3.3,48.3,5.8
Mille-feuilles,autre,100,,,,,
Riz brun grain moyen cuit,cereal,100,112,2.32,0.83,23.51,1.91
Haricots rouges (conserve),autre,100,85,5.26,0.36,15.54,5.4
Papaye,fruit,100,39,0.61,0.14,9.81,1.8
Cuisses de grenouille,autre,100,252,17.4,11.7,18,0.348
Aneth frais,autre,100,43,3.46,1.12,7.02,2.1
Pois cajan,autre,100,121,6.76,0.38,23.25,6.7
Burrito jambon et fromage,dairy,100,214,9.7,7,28.1,1.4
Lapin mijoté,meat,100,206,30.38,8.41,0,0
Émeu,autre,100,153,29.07,3.13,0,0
Chocolat liquide,autre,100,472,12.1,47.7,36.2,18.1
Huile de maïs,cereal,100,885,0,100,0,0
Piment de cayenne,autre,100,318,12.01,17.27,56.63,27.2
Calmar,autre,100,175,17.94,7.48,7.79,0
Noix de Pécan rôtie à sec,autre,100,710,9.5,74.27,13.72,9.4
Riz blanc grain moyen cuit,cereal,100,130,2.38,0.21,28.59,
Sauce tomate,sauce,100,42,1.56,0.19,9.94,1.8
Tripes de boeuf,meat,100,85,12.07,3.69,0,0
Alcool de riz (saké),cereal,100,134,0.5,0,5,0
Chou de Chine cru,vegetable,100,16,1.2,0.2,3.23,1.2
Couscous cuit,autre,100,112,3.79,0.16,23.22,0.89
Fromage des Pyrénées,dairy,100,,,,,
Mars,autre,100,456,4.01,17.23,71.17,1
Préparation pour crêpe au sarrasin,autre,100,340,10.9,2.7,71.3,8.5
Riz blanc grain moyen sec,cereal,100,360,6.61,0.58,79.34,1.4
Sauce barbecue,sauce,100,150,0,0.29,36.25,0.6
Échalote lyophilisée,autre,100,348,12.3,0.5,80.7,9.2
Soupe de légumes et bœuf en sachet,meat,100,21,1.16,0.44,3.17,0.3
Cuisse de faisan,autre,100,134,22.2,4.3,0,0
Espadon,autre,100,155,25.39,5.14,0,0
Ratatouille,autre,100,53.1,1.1,3.77,3.7,2
Pintade,autre,100,158,23.4,6.45,0,0
Figue,autre,100,74,0.75,0.3,19.18,2.9
Merlan (lieu noir),autre,100,118,24.92,1.26,0,0
Amuse-gueule à base de maïs,autre,100,384,9.7,3.1,80.1,2.9
Bœuf haché à point,autre,100,289,24.07,20.69,0,0
Huile de sésame,autre,100,885,0,100,0,0
Purée de sésame (tahin),autre,100,,,,,
Autruche,autre,100,123,22.07,3.19,0,0
Beignet nature,autre,100,418,5.87,23.55,45.63,1.6
Fenugrec (graines),autre,100,323,23,6.41,58.35,24.6
