nom,type,portion,calories,proteins,lipides,glucides,fibres
Fromage allégé,dairy,100,200,23,6,4,0
Flan à la noix de coco,autre,100,389,0.9,2.3,91.2,4
Pois chiches,vegetable,100,164,8.86,2.59,27.42,4.56
Saucisson de foie et de bacon,meat,100,297,15,24,4.3,0
Veau maigre,meat,100,196,31.9,6.58,0,0
Graine de tournesol séchée,spice,100,585,20.78,51.46,20,8.6
Brochette d'agneau,meat,100,186,28.08,7.33,0,0
Chocolat amer à cuire,autre,100,0,0,0,0,0
Beurre salé,dairy,100,717,0.85,81.11,0.06,0
Piment rouge séché,spice,100,324,10.58,5.81,69.86,28.7
Glace de type Esquimau,autre,100,0,0,0,0,0
Sandwich jambon fromage,autre,100,0,0,0,0,0
Pot-au-feu,autre,100,0,0,0,0,0
Poulet frit (sans peau),meat,100,219,30.57,9.12,1.69,0.1
Bouillon ou consommé de poulet (déshydraté),meat,100,5,0.28,0.23,0.3,0
Beurre doux,dairy,100,717,0.85,81.11,0.06,0
Soupe de légumes et bœuf en sachet,autre,100,21,1.16,0.44,3.17,0.3
Fève de café enrobée de chocolat noir,vegetable,100,540,7.5,30,59.95,7.5
Pain d'épices,autre,100,320,3,3.1,70,2
Hamburger,autre,100,268,14.8,15.1,18.02,0.89
Tourteau,seafood,100,99,16.2,1.9,3.11,0
Truite arc-en-ciel (élevage),seafood,100,169,24.27,7.2,0,0
Choucroute (conserve),vegetable,100,19,0.91,0.14,4.28,2.9
Alcool de riz (saké),cereal,100,134,0.5,0,5,0
Cresson cru,vegetable,100,32,2.6,0.7,5.5,1.1
Jambon tranché,meat,100,163,16.6,8.6,3.83,1.3
Bacon de dinde,meat,100,382,29.6,27.9,3.1,0
Langue de bœuf,meat,100,284,19.29,22.3,0,0
Roulé de dinde,meat,100,98,14.79,1.66,5.03,0
Gelée de fruit,fruit,100,267,0.15,0.02,69.95,1
Parmesan pâte dure,dairy,100,392,35.75,25.83,3.22,0
Couscous sec,autre,100,376,12.76,0.64,77.43,5
Gésier de poulet mijoté,meat,100,154,30.39,2.68,0,0
Huître cuite,seafood,100,137,14.1,4.91,7.82,0
Oeuf au plat,egg,100,193,12.871,14.811,1.106,0
Café instantané,drink,100,241,12.2,0.5,41.1,0
Petits pois et carottes (conserve),vegetable,100,38,2.17,0.27,8.48,2
Pousses de bambou,autre,100,12,1.53,0.22,1.92,1
Menthe verte déshydratée,autre,100,285,19.93,6.03,52.04,29.8
Haricots beurre crus,vegetable,100,345,22,2.6,60.7,25.1
Poulet pané et frit,meat,100,297,15.59,18.82,16.32,0.9
Sauce Mornay,sauce,100,0,0,0,0,0
Soupe aux champignons en sachet,autre,100,33,0.66,1.82,4.4,0.2
Oignon cuit,vegetable,100,44,1.36,0.19,10.15,1.7
Poivron,vegetable,100,18,0.8,0.3,3.9,1.2
Chou de Chine cru,vegetable,100,16,1.2,0.2,3.23,1.2
Préparation pour crêpe au sarrasin,autre,100,340,10.9,2.7,71.3,8.5
Cheval,meat,100,175,28.14,6.05,0,0
Enchilada fromage et bœuf,meat,100,0,0,0,0,0
Hamburger au poisson et fromage,autre,100,286,11.26,15.63,26.03,1.33
Paëlla,autre,100,0,0,0,0,0
Nem,autre,100,0,0,0,0,0
Piment fort (conserve),spice,100,21,0.9,0.1,5.1,1.3
Seigle,cereal,100,335,14.76,2.5,69.76,13.56
Raisin de Corinthe sec,fruit,100,283,4.08,0.27,74.08,6.8
Sandwich grec aux crudités,autre,100,0,0,0,0,0
Mars aux amandes,autre,100,467,8.1,23,62.7,2
Aile de poulet rôti avec la peau,spice,100,290,26.86,19.46,0,0
Amande blanchie,nuts,100,581,21.94,50.62,19.94,10.4
Céleri cru,vegetable,100,16,0.69,0.17,2.97,1.5
Salami sec,meat,100,407,22.58,33.72,1.6,0
Amande non blanchie,nuts,100,576,21.22,49.42,21.67,12.2
Beurre fermier,dairy,100,717,0.85,81.11,0.06,0
Aneth frais,spice,100,43,3.46,1.12,7.02,2.1
Huile de noisette,autre,100,885,0,100,0,0
Boisson aux agrumes,drink,100,46,0.34,0.03,11.42,0.1
Fécule de maïs,cereal,100,0,0,0,0,0
Pain de seigle foncé (Pumpernickel),autre,100,250,8.7,3.1,47.5,6.5
Persil lyophilisé,spice,100,271,31.3,5.2,42.38,32.7
Ciboulette,autre,100,30,3.27,0.73,4.35,2.5
Pêche,fruit,100,39,0.91,0.25,9.54,1.93
Yaourt normal sur lit de fruits,fruit,100,115,3.86,3,17.76,0
Écrevisse,seafood,100,87,17.52,1.3,0,0
Flan au citron,autre,100,107,2.76,1.71,20.2,0
Pomélo,autre,100,38,0.76,0.04,9.62,1
Glaçage à la vanille,autre,100,0,0,0,0,0
Morue salée,seafood,100,290,62.82,2.37,0,0
Macaroni au blé complet,autre,100,124,5.33,0.54,26.54,2.8
Saucisse de bœuf,meat,100,332,18.21,27.98,0.35,0
Noix de cajou rôtie à sec,nuts,100,574,15.31,46.35,32.69,3
Camembert,dairy,100,300,19.8,24.26,0.46,0
crème fraîche^légère,dairy,100,0,0,0,0,0
Crème glacée à la vanille,dairy,100,249,3.5,16.2,22.29,0
Cresson de fontaine cru,vegetable,100,11,2.3,0.1,1.29,0.5
Chou-rave cuit,vegetable,100,29,1.8,0.11,6.69,1.1
Aubergine,vegetable,100,35,0.83,0.23,8.73,2.5
Chou de Chine cuit,vegetable,100,14,1.5,0.17,2.41,1.7
Esturgeon fumé,seafood,100,173,31.2,4.4,0,0
Crêpe nature (prête-à-manger),autre,100,225,5.33,5.17,39.29,2.4
Fruits confits,fruit,100,0,0,0,0,0
Fève,vegetable,100,0,0,0,0,0
Huile de maïs,autre,100,885,0,100,0,0
Poulet mijoté,meat,100,179,24.56,8.18,0,0
Pain aux céréales,autre,100,265,13.36,4.23,43.34,7.4
Poivrons farcis (bœuf),meat,100,73,3.72,2.57,8.73,1.2
Jus de fruit de la passion,fruit,100,0,0,0,0,0
Saucisse bratwurst,meat,100,245,14.1,19.3,2.6,0
Gaufrette fourrée,autre,100,511,4.1,24.3,70.1,0.6
Morue fumée,seafood,100,85,18,0.9,0,0
Biscuit fourré au chocolat (BN) COPY,autre,100,0,0,0,0,0
Oie rôtie avec la peau,meat,100,305,25.16,21.92,0,0
Pain de viande aux olives,autre,100,0,0,0,0,0
Radis,vegetable,100,16,0.68,0.1,3.4,1.6
Biscuit à l'avoine,autre,100,450,6.2,18.1,68.7,2.8
Tostada au fromage et bœuf,autre,100,0,0,0,0,0
Banane Plantain crue,fruit,100,122,1.3,0.37,31.89,2.3
Côte de veau,meat,100,228,23.96,13.96,0,0
Litchi,fruit,100,66,0.83,0.44,16.53,1.3
Pain au raisin,autre,100,274,7.9,4.4,52.3,4.3
Brochet,autre,100,95,21,0.7,0,0
Biscuit petit beurre,autre,100,467,6.1,18.8,68.9,0.8
Chocolat au lait,autre,100,38,1.65,0.21,8.98,1.9
Salade de fruits tropicaux (conserve),fruit,100,86,0.41,0.1,22.36,1.3
Salade de pommes de terre,vegetable,100,143,2.68,8.2,11.17,1.3
Chou cuit,vegetable,100,23,1.27,0.06,5.51,1.7
Poire au sirop,fruit,100,50,0.34,0.07,12.94,1.6
Bretzels durs (apéritif),autre,100,362,11.1,2.6,81.2,7.7
Salami de boeuf sec,meat,100,385,23.2,30.05,3.8,0
Glaçage au sucre,autre,100,0,0,0,0,0
Laurier (feuille),spice,100,314,7.61,8.36,74.97,26.3
Turbot,seafood,100,122,20.58,3.78,0,0
Rôti de porc cuit,meat,100,459,28.95,36.7,1.05,0
Pâte feuilletée (prête-à-cuire),autre,100,551,7.3,38.1,45.1,1.5
Cerises confites,fruit,100,0,0,0,0,0
Hachis Parmentier,autre,100,0,0,0,0,0
Huile de lin,autre,100,885,0,100,0,0
Café décaféiné,drink,100,0,0.1,0,0,0
Chapon rôti,autre,100,229,28.96,11.65,0,0
Cappucino,drink,100,32,0.2,1.1,5.6,0
Foie d'agneau,meat,100,238,25.53,12.65,3.78,0
Pavot (graines),spice,100,525,17.99,41.56,28.13,19.5
Cassonade,autre,100,380,0.12,0,98.09,0
Poivron jaune,vegetable,100,27,1,0.21,6.32,0.9
Poivron vert cuit,vegetable,100,28,0.92,0.2,6.7,1.51
Vanille (extrait),autre,100,288,0.06,0.06,12.65,0
Thon rouge frais cru,seafood,100,144,23.33,4.9,0,0
Bigorneau,seafood,100,135,26.1,1.2,5,0
Champignon de Paris (conserve),vegetable,100,25,1.87,0.29,5.09,2.83
Oeufs brouillés,egg,100,153,10.388,11.394,3.047,0
Vin doux,drink,100,133,0.1,0,10.6,0
Blanc de dinde rôtie,meat,100,112,13.5,3,7.7,0.4
Ratatouille,autre,100,53.1,1.1,3.77,3.7,2
